num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0612600476	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	0,25	0,25	17,6989	4,424725	ARAGOMINAS
0612600476	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	ARAGOMINAS
0612600476	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	2	2	11,875	23,75	ARAGOMINAS
0612600476	90363	PARAFUSO DISTR CAB QUAD ACO-GALV M16 250MM 5000DAN	UN	4	4	7,22	28,88	ARAGOMINAS
0612600476	90389	ARRUELA QUADRADA ACO GALV 38X18X3MM	UN	4	4	0,7371	2,9484	ARAGOMINAS
0612600476	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	1	1	84,655	84,655	ARAGOMINAS
0612600476	90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	7	7	114,76	803,32	ARAGOMINAS
0612600476	90463	HASTE ATERRAMENTO PERF L CHANF ACO-GALV 2400X25X25MM 5,0MM	UN	1	1	49,86	49,86	ARAGOMINAS
0612600476	90489	CONECTOR ATERR CUNHA TRANSV COBRE CB/HST 25-35MM2 14,3MM	UN	7	7	13,96	97,72	ARAGOMINAS
0612600476	90499	ELO FUSIVEL DISTRIBUICAO TIPO H 2A 500MM	UN	1	1	5,1505	5,1505	ARAGOMINAS
0612600476	90548	CHAVE FUSIVEL DISTR BSC 36,2KV 300A 1F MAN SEC	PC	1	1	271,86	271,86	ARAGOMINAS
0612600476	90560	CABO ALUM NU CAA/ASCR 1F 4AWG SWAN	KG	0,26	0,26	24,93	6,4818	ARAGOMINAS
0612600476	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	ARAGOMINAS
0612600476	90654	SUPORTE TIPO T ACO-GALV 36,2KV 800X195X50MM 200DAN	UN	1	1	82,8453	82,8453	ARAGOMINAS
